sessionId, userId
40,1
1,2
3,2
4,2
5,2
16,2
40,2
116,2
213,2
15,3
40,3
40,4
65,4
215,4
1,5
40,5
115,5
265,6
43,7
165,7
40,10
141,10
43,11
2,12
28,12
41,12
43,13
178,13
78,14
128,14
228,14
51,15
191,15
201,15
101,16
278,16
91,18
151,18
241,18
291,18
88,19
238,19
182,20
282,20
104,21
132,21
251,21
53,22
197,22
203,22
4,23
13,23
32,23
38,23
43,23
47,23
138,24
63,26
188,26
213,26
288,26
97,27
154,27
247,27
297,27
82,28
175,28
232,28
113,29
263,29
147,30
125,31
43,32
163,32
286,32
25,33
59,33
157,33
209,33
259,33
7,34
36,34
46,34
109,34
275,34
86,35
236,35
75,36
136,36
225,36
186,37
253,37
96,38
103,38
246,38
296,38
54,39
146,39
204,39
43,41
66,41
142,41
196,41
216,41
266,41
107,42
153,42
92,43
242,43
40,44
73,44
187,44
223,44
3,45
23,45
29,45
37,45
42,45
292,45
40,46
173,46
279,46
16,47
87,47
129,47
159,47
237,47
287,47
192,48
254,48
79,49
123,49
137,49
229,49
273,49
185,50
267,51
67,52
116,52
217,52
298,52
166,53
257,54
17,55
135,55
179,55
285,55
6,56
35,56
48,56
98,56
248,56
145,57
56,58
85,58
206,58
235,58
106,59
198,59
184,60
295,60
95,61
245,61
148,62
268,62
68,63
124,63
156,63
218,63
18,64
174,65
9,67
24,67
31,67
45,67
274,67
284,67
74,68
134,68
195,68
224,68
117,69
256,69
84,70
176,70
234,70
293,70
57,72
131,72
207,72
281,72
193,73
143,74
126,75
167,75
93,76
243,76
81,77
231,77
5,78
26,78
34,78
43,78
49,78
118,78
181,79
276,79
290,79
60,80
99,80
140,80
210,80
249,80
149,81
199,81
168,82
190,82
76,83
226,83
90,84
127,84
240,84
20,85
294,85
258,86
12,87
108,87
177,87
270,87
70,88
120,88
158,88
220,88
277,88
8,89
27,89
39,89
44,89
50,89
94,89
144,89
244,89
77,90
227,90
58,91
162,91
208,91
299,91
21,92
89,92
139,92
239,92
271,92
289,92
100,93
121,93
250,93
194,94
71,95
170,95
221,95
150,97
112,98
189,98
262,98
40,99
62,99
105,99
212,99
10,100
40,100
171,100
30,101
155,101
255,102
22,104
260,104
80,105
110,105
230,105
200,107
300,107
55,110
205,110
280,110
122,111
43,113
160,113
72,114
222,114
272,114
130,115
172,118
52,120
202,120
152,123
180,123
102,125
252,125
261,137
61,140
211,140
111,142
11,145
161,150
40,161
119,162
169,165
69,172
219,172
19,176
269,176
183,177
3,180
283,180
133,183
164,185
264,188
83,190
114,190
233,190
64,192
214,192
14,198
33,199
