sessionId, userId
1, 1258
1, 4473
2, 1304
3, 4022
3, 3636
3, 4149
3, 1320
4, 3190
5, 161
5, 4846
5, 4236
5, 213
5, 1893
6, 4786
6, 2553
6, 418
6, 2815
6, 4231
6, 30
7, 4644
7, 3642
8, 312
8, 613
8, 4732
9, 1510
10, 3654
10, 3475
10, 4205
10, 780
11, 1121
11, 2989
11, 4030
11, 2460
12, 4310
13, 4076
13, 4242
14, 985
14, 4053
14, 2435
15, 4038
15, 4357
15, 2246
15, 733
15, 1346
15, 88
16, 3576
16, 293
17, 4288
17, 1513
17, 3548
17, 533
17, 435
17, 4997
17, 599
18, 2752
19, 186
19, 4124
19, 1703
20, 2070
20, 3324
21, 4205
22, 4008
22, 2414
23, 908
24, 897
24, 1708
25, 3191
25, 584
25, 3848
26, 416
27, 986
27, 4467
28, 4500
29, 602
29, 1454
30, 4456
30, 3837
31, 3148
32, 127
32, 4881
32, 4373
32, 164
33, 2045
33, 3576
33, 4349
33, 2130
33, 2655
33, 615
34, 2909
34, 1089
34, 2357
34, 1522
34, 63
35, 569
36, 173
36, 3611
36, 42
36, 1765
36, 3604
36, 2299
37, 3405
37, 2078
37, 3847
37, 4596
37, 1346
38, 4032
38, 3470
38, 360
38, 116
38, 4149
39, 463
39, 1879
39, 3307
40, 2125
40, 1264
40, 1604
41, 3374
41, 3217
41, 1425
42, 1925
43, 4741
43, 4075
44, 4774
44, 1419
44, 960
45, 707
45, 2267
45, 1052
45, 3534
46, 1697
47, 573
48, 4089
48, 3752
48, 4742
48, 4693
48, 4066
48, 4103
49, 4075
49, 347
50, 3897
50, 4802
50, 2092
51, 795
52, 4059
52, 4351
52, 4304
53, 4642
53, 4002
53, 1382
53, 4748
53, 3368
53, 4183
53, 4308
53, 471
54, 4708
54, 2896
54, 3705
55, 1347
55, 4875
55, 265
56, 1349
57, 2597
57, 4520
57, 3016
58, 4994
58, 1914
58, 59
58, 504
58, 3628
59, 1007
60, 2541
60, 1714
60, 1208
60, 3259
60, 4826
61, 4629
61, 366
61, 531
61, 1231
61, 134
62, 4099
63, 1671
63, 3051
64, 2986
64, 3418
64, 4357
65, 1010
66, 4647
66, 395
67, 4721
67, 3425
68, 1888
68, 2971
68, 3849
68, 2678
68, 606
68, 1349
69, 4113
69, 4476
69, 2657
69, 3102
69, 383
69, 3420
69, 3039
70, 2451
70, 3339
71, 4161
71, 1861
71, 2515
71, 4024
71, 4606
71, 4545
71, 767
71, 4036
71, 206
71, 324
72, 2744
72, 409
73, 3110
73, 4790
74, 1486
75, 414
75, 4238
76, 3293
76, 921
76, 4864
76, 2697
77, 1658
77, 3966
77, 1395
77, 1704
78, 2913
78, 1449
79, 1998
79, 2160
79, 534
79, 1091
79, 396
80, 4726
80, 972
80, 536
80, 11
81, 1205
82, 701
82, 3654
82, 4601
82, 443
82, 2191
82, 956
83, 4783
83, 2305
83, 3078
84, 1854
85, 4904
85, 3059
86, 860
87, 2467
88, 1075
88, 400
88, 3414
88, 831
88, 3306
89, 1212
90, 4461
90, 1501
90, 3263
90, 4243
90, 3724
90, 1152
90, 3444
91, 4317
91, 1262
92, 4808
92, 370
92, 1983
92, 751
92, 2407
93, 2204
94, 2881
94, 4331
94, 2396
94, 996
94, 3111
95, 4852
96, 4039
96, 3502
96, 1585
97, 3773
97, 4982
98, 2695
99, 1017
99, 537
99, 3237
99, 4043
99, 4681
99, 2664
100, 10
100, 1635
101, 319
102, 3930
102, 1954
102, 246
103, 655
104, 1405
105, 1381
105, 1651
105, 1913
106, 4634
106, 3716
107, 3691
107, 4758
107, 4806
108, 3248
108, 4364
109, 3569
109, 2749
109, 1671
109, 4628
109, 2449
109, 4290
109, 2579
109, 4830
110, 1359
111, 683
112, 2810
112, 1366
112, 580
112, 2236
